Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 20, 2020","1,689.42","1,698.91","1,677.62","1,696.07","1,696.07",-
"Feb 19, 2020","1,685.33","1,698.16","1,685.33","1,692.57","1,692.57","36,001,500"
"Feb 18, 2020","1,686.03","1,687.38","1,674.60","1,683.52","1,683.52","37,467,200"
"Feb 14, 2020","1,694.87","1,695.17","1,683.47","1,687.58","1,687.58","33,980,400"
"Feb 13, 2020","1,684.58","1,696.54","1,680.38","1,693.74","1,693.74","34,982,400"
"Feb 12, 2020","1,684.39","1,690.06","1,683.02","1,689.38","1,689.38","39,263,800"
"Feb 11, 2020","1,674.50","1,686.01","1,674.00","1,677.51","1,677.51","37,605,500"
"Feb 10, 2020","1,654.92","1,667.70","1,653.67","1,667.67","1,667.67","34,503,500"
"Feb 07, 2020","1,673.53","1,673.53","1,654.31","1,656.78","1,656.78","37,306,500"
"Feb 06, 2020","1,685.44","1,689.17","1,677.29","1,677.46","1,677.46","38,683,700"
"Feb 05, 2020","1,667.95","1,682.96","1,667.38","1,681.92","1,681.92","41,177,300"
"Feb 04, 2020","1,644.42","1,661.00","1,644.42","1,656.77","1,656.77","39,953,200"
"Feb 03, 2020","1,618.80","1,636.88","1,618.80","1,632.21","1,632.21","37,579,100"
"Jan 31, 2020","1,643.69","1,643.69","1,610.64","1,614.06","1,614.06","45,278,300"
"Jan 30, 2020","1,641.47","1,648.43","1,630.94","1,648.22","1,648.22","37,872,500"
"Jan 29, 2020","1,661.08","1,663.77","1,649.00","1,649.22","1,649.22","35,845,000"
"Jan 28, 2020","1,651.13","1,661.19","1,651.13","1,658.31","1,658.31","35,267,200"
"Jan 27, 2020","1,660.82","1,660.82","1,632.26","1,644.14","1,644.14","38,231,000"
"Jan 24, 2020","1,687.81","1,689.15","1,653.19","1,662.23","1,662.23","37,071,300"
"Jan 23, 2020","1,680.54","1,687.85","1,666.47","1,685.01","1,685.01","37,648,600"
"Jan 22, 2020","1,691.07","1,694.37","1,682.94","1,684.46","1,684.46","36,198,500"
"Jan 21, 2020","1,695.45","1,695.45","1,684.26","1,685.90","1,685.90","41,053,400"
"Jan 17, 2020","1,712.93","1,715.08","1,697.69","1,699.64","1,699.64","36,981,700"
"Jan 16, 2020","1,691.82","1,706.17","1,691.82","1,705.22","1,705.22","35,350,800"
"Jan 15, 2020","1,673.69","1,688.12","1,673.40","1,682.40","1,682.40","37,168,400"
"Jan 14, 2020","1,668.39","1,684.34","1,662.86","1,675.74","1,675.74","36,651,300"
"Jan 13, 2020","1,658.98","1,669.61","1,652.32","1,669.61","1,669.61","34,563,800"
"Jan 10, 2020","1,665.47","1,666.75","1,654.01","1,657.64","1,657.64","32,129,700"
"Jan 09, 2020","1,669.86","1,671.82","1,663.78","1,664.99","1,664.99","36,383,900"
"Jan 08, 2020","1,658.47","1,669.29","1,658.23","1,663.59","1,663.59","37,208,900"
"Jan 07, 2020","1,659.73","1,662.10","1,653.33","1,658.31","1,658.31","34,203,800"
"Jan 06, 2020","1,650.66","1,664.85","1,645.51","1,663.26","1,663.26","36,740,700"
"Jan 03, 2020","1,655.02","1,664.04","1,648.54","1,660.87","1,660.87","34,612,900"
"Jan 02, 2020","1,675.90","1,678.14","1,653.52","1,666.77","1,666.77","34,582,500"
"Dec 31, 2019","1,660.05","1,673.34","1,659.83","1,668.47","1,668.47","28,938,100"
"Dec 30, 2019","1,669.88","1,670.22","1,658.05","1,664.15","1,664.15","30,132,900"
"Dec 27, 2019","1,681.25","1,681.68","1,666.43","1,669.03","1,669.03","24,286,700"
"Dec 26, 2019","1,680.22","1,680.36","1,675.10","1,677.67","1,677.67","21,606,800"
"Dec 24, 2019","1,676.23","1,678.09","1,673.74","1,678.01","1,678.01","12,965,400"
"Dec 23, 2019","1,673.98","1,675.31","1,666.19","1,674.14","1,674.14","30,606,100"
"Dec 20, 2019","1,670.60","1,674.43","1,668.86","1,671.90","1,671.90","64,542,700"
"Dec 19, 2019","1,662.52","1,667.23","1,660.62","1,667.09","1,667.09","37,204,500"
"Dec 18, 2019","1,660.49","1,663.39","1,654.73","1,661.73","1,661.73","40,140,800"
"Dec 17, 2019","1,650.59","1,657.70","1,649.63","1,657.56","1,657.56","38,375,400"
"Dec 16, 2019","1,647.20","1,658.62","1,647.20","1,649.94","1,649.94","40,517,900"
"Dec 13, 2019","1,643.83","1,650.19","1,632.65","1,637.98","1,637.98","37,368,700"
"Dec 12, 2019","1,631.80","1,654.07","1,629.86","1,644.81","1,644.81","39,906,900"
"Dec 11, 2019","1,633.43","1,634.43","1,626.74","1,631.93","1,631.93","32,525,400"
"Dec 10, 2019","1,629.10","1,633.74","1,626.37","1,631.71","1,631.71","33,437,900"
"Dec 09, 2019","1,631.47","1,636.44","1,629.62","1,629.62","1,629.62","33,459,900"
"Dec 06, 2019","1,620.92","1,637.90","1,620.92","1,633.84","1,633.84","34,794,800"
"Dec 05, 2019","1,617.17","1,620.84","1,611.80","1,614.83","1,614.83","33,557,500"
"Dec 04, 2019","1,607.68","1,618.38","1,607.68","1,613.90","1,613.90","36,950,300"
"Dec 03, 2019","1,602.76","1,603.08","1,589.73","1,602.63","1,602.63","36,533,900"
"Dec 02, 2019","1,626.56","1,627.34","1,606.63","1,607.58","1,607.58","32,687,400"
"Nov 29, 2019","1,630.16","1,633.59","1,623.92","1,624.50","1,624.50","17,430,200"
"Nov 27, 2019","1,626.80","1,634.77","1,626.80","1,634.10","1,634.10","30,330,900"
"Nov 26, 2019","1,621.90","1,630.28","1,619.95","1,624.23","1,624.23","45,955,900"
"Nov 25, 2019","1,594.49","1,623.99","1,594.49","1,621.90","1,621.90","35,115,300"
"Nov 22, 2019","1,588.89","1,591.31","1,581.81","1,588.94","1,588.94","32,267,800"
"Nov 21, 2019","1,594.10","1,595.61","1,581.04","1,583.96","1,583.96","37,205,600"
"Nov 20, 2019","1,593.44","1,602.71","1,581.98","1,591.61","1,591.61","40,348,900"
"Nov 19, 2019","1,594.96","1,602.96","1,592.04","1,598.29","1,598.29","35,900,700"
"Nov 18, 2019","1,594.11","1,594.11","1,588.55","1,592.34","1,592.34","34,366,900"
